match_id,source_row,competition,round,group,date,time,match_datetime_utc,city,venue_country,home_team,away_team,home_is_placeholder,away_is_placeholder,home_advantage,away_advantage,neutral_venue,home_elo,away_elo,elo_diff_home_minus_away,home_elo_date,away_elo_date,home_elo_last_change,away_elo_last_change,home_recent10_matches,home_recent10_wins,home_recent10_draws,home_recent10_losses,home_recent10_win_rate,home_recent10_points_per_match,home_recent10_goals_for_avg,home_recent10_goals_against_avg,away_recent10_matches,away_recent10_wins,away_recent10_draws,away_recent10_losses,away_recent10_win_rate,away_recent10_points_per_match,away_recent10_goals_for_avg,away_recent10_goals_against_avg,h2h_matches,h2h_home_team_wins,h2h_away_team_wins,h2h_draws,h2h_home_team_win_rate,h2h_away_team_win_rate,h2h_draw_rate,h2h_home_goals_avg,h2h_away_goals_avg,h2h_last_match_date,home_win_prob,draw_prob,away_win_prob,home_fair_odds,draw_fair_odds,away_fair_odds,model_prediction,model_version,predicted_winner,draw_risk_level,draw_risk_flag
wc2026_r001,1,World Cup 2026,Matchday 1,Group A,2026-06-11,13:00 UTC-6,2026-06-11 19:00:00,Mexico City,Mexico,Mexico,South Africa,False,False,1.0,0.0,0.0,1835.0,1531.0,304.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,3.0,1.0,0.6,2.1,1.6,0.4,10.0,5.0,2.0,3.0,0.5,1.7,1.5,1.0,4.0,2.0,1.0,1.0,0.5,0.25,0.25,2.5,1.25,2010-06-11,0.7907880393415273,0.17270546147772362,0.03650649918074907,1.2645613618950018,5.790204846121701,27.39238279323504,home_win,v4_elo_ensemble_calibrated_v1,Mexico,low,False
wc2026_r002,2,World Cup 2026,Matchday 1,Group A,2026-06-11,20:00 UTC-6,2026-06-12 02:00:00,Guadalajara (Zapopan),Mexico,South Korea,Czechia,False,False,0.0,0.0,1.0,1784.0,1731.0,53.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,1.0,3.0,0.6,1.9,1.5,1.2,10.0,5.0,4.0,1.0,0.5,1.9,2.0,0.9,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.6666666666666665,2016-06-05,0.5552913155577462,0.3208465481762215,0.1238621362660323,1.8008565449931069,3.1167547404959484,8.073492272506831,home_win,v4_elo_ensemble_calibrated_v1,South Korea,high,True
wc2026_r003,3,World Cup 2026,Matchday 8,Group A,2026-06-18,12:00 UTC-4,2026-06-18 16:00:00,Atlanta,United States,Czechia,South Africa,False,False,0.0,0.0,1.0,1731.0,1531.0,200.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,4.0,1.0,0.5,1.9,2.0,0.9,10.0,5.0,2.0,3.0,0.5,1.7,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1997-12-13,0.7122835253786267,0.22520336539867467,0.06251310922269865,1.4039353212169727,4.440430977706362,15.996644742746179,home_win,v4_elo_ensemble_calibrated_v1,Czechia,low,False
wc2026_r004,4,World Cup 2026,Matchday 8,Group A,2026-06-18,19:00 UTC-6,2026-06-19 01:00:00,Guadalajara (Zapopan),Mexico,Mexico,South Korea,False,False,1.0,0.0,0.0,1835.0,1784.0,51.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,3.0,1.0,0.6,2.1,1.6,0.4,10.0,6.0,1.0,3.0,0.6,1.9,1.5,1.2,15.0,8.0,4.0,3.0,0.5333333333333333,0.2666666666666666,0.2,2.066666666666667,1.3333333333333333,2025-09-09,0.5839677522472275,0.31685206084545253,0.0991801869073199,1.712423325006895,3.156047012387144,10.082658958229851,home_win,v4_elo_ensemble_calibrated_v1,Mexico,high,True
wc2026_r005,5,World Cup 2026,Matchday 14,Group A,2026-06-24,19:00 UTC-6,2026-06-25 01:00:00,Mexico City,Mexico,Czechia,Mexico,False,False,0.0,1.0,0.0,1731.0,1835.0,-104.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,4.0,1.0,0.5,1.9,2.0,0.9,10.0,6.0,3.0,1.0,0.6,2.1,1.6,0.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2000-02-08,0.4201775416089992,0.3735139002070697,0.206308558183931,2.3799463345200893,2.67727653360589,4.847108664820712,home_win,v4_elo_ensemble_calibrated_v1,Czechia,high,True
wc2026_r006,6,World Cup 2026,Matchday 14,Group A,2026-06-24,19:00 UTC-6,2026-06-25 01:00:00,Monterrey (Guadalupe),United States,South Africa,South Korea,False,False,0.0,0.0,1.0,1531.0,1784.0,-253.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,2.0,3.0,0.5,1.7,1.5,1.0,10.0,6.0,1.0,3.0,0.6,1.9,1.5,1.2,,,,,,,,,,,0.3155009168730496,0.34723478830952365,0.33726429481742676,3.1695628967137908,2.879895775617402,2.9650337001766993,away_win,v4_elo_ensemble_calibrated_v1,South Korea,high,True
wc2026_r007,7,World Cup 2026,Matchday 2,Group B,2026-06-12,15:00 UTC-4,2026-06-12 19:00:00,Toronto,Canada,Canada,Bosnia and Herzegovina,False,False,1.0,0.0,0.0,1802.0,1571.0,231.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,5.0,1.0,0.4,1.7,0.9,0.4,10.0,3.0,6.0,1.0,0.3,1.5,2.0,1.0,,,,,,,,,,,0.7201172744944501,0.22431153743485513,0.05557118807069486,1.3886627017828983,4.458085444180157,17.994936489892037,home_win,v4_elo_ensemble_calibrated_v1,Canada,low,False
wc2026_r008,8,World Cup 2026,Matchday 3,Group B,2026-06-13,12:00 UTC-7,2026-06-13 19:00:00,San Francisco Bay Area (Santa Clara),United States,Qatar,Switzerland,False,False,0.0,0.0,1.0,1427.0,1897.0,-470.0,2025-12-13,2025-12-13,0.0,0.0,10.0,1.0,4.0,5.0,0.1,0.7,0.7,1.5,10.0,5.0,4.0,1.0,0.5,1.9,2.2,0.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2018-11-14,0.1299295543675888,0.20636795663450455,0.6637024889979066,7.696478332950029,4.845713531830362,1.5066991861215606,away_win,v4_elo_ensemble_calibrated_v1,Switzerland,low,False
wc2026_r009,9,World Cup 2026,Matchday 8,Group B,2026-06-18,12:00 UTC-7,2026-06-18 19:00:00,Los Angeles (Inglewood),United States,Switzerland,Bosnia and Herzegovina,False,False,0.0,0.0,1.0,1897.0,1571.0,326.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,4.0,1.0,0.5,1.9,2.2,0.8,10.0,3.0,6.0,1.0,0.3,1.5,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2016-03-29,0.8123770418207154,0.15146172480891587,0.03616123337036879,1.2309555151371343,6.602328088245398,27.653924017409736,home_win,v4_elo_ensemble_calibrated_v1,Switzerland,low,False
wc2026_r010,10,World Cup 2026,Matchday 8,Group B,2026-06-18,15:00 UTC-7,2026-06-18 22:00:00,Vancouver,Canada,Canada,Qatar,False,False,1.0,0.0,0.0,1802.0,1427.0,375.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,5.0,1.0,0.4,1.7,0.9,0.4,10.0,1.0,4.0,5.0,0.1,0.7,0.7,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2022-09-23,0.8453255595635838,0.12987978531738167,0.024794655119034528,1.1829761784516133,7.699427571090781,40.33127281662866,home_win,v4_elo_ensemble_calibrated_v1,Canada,low,False
wc2026_r011,11,World Cup 2026,Matchday 14,Group B,2026-06-24,12:00 UTC-7,2026-06-24 19:00:00,Vancouver,Canada,Switzerland,Canada,False,False,0.0,1.0,0.0,1897.0,1802.0,95.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,4.0,1.0,0.5,1.9,2.2,0.8,10.0,4.0,5.0,1.0,0.4,1.7,0.9,0.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2002-05-15,0.6107593395920499,0.30301971224542545,0.08622094816252478,1.6373061125318842,3.300115337678321,11.598109523395866,home_win,v4_elo_ensemble_calibrated_v1,Switzerland,high,True
wc2026_r012,12,World Cup 2026,Matchday 14,Group B,2026-06-24,12:00 UTC-7,2026-06-24 19:00:00,Seattle,United States,Bosnia and Herzegovina,Qatar,False,False,0.0,0.0,1.0,1571.0,1427.0,144.0,2025-12-13,2025-12-13,0.0,0.0,10.0,3.0,6.0,1.0,0.3,1.5,2.0,1.0,10.0,1.0,4.0,5.0,0.1,0.7,0.7,1.5,2.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,1.5,2010-08-10,0.695178325452262,0.23094319264196583,0.07387848190577218,1.4384798308397062,4.330069176580202,13.535741046702116,home_win,v4_elo_ensemble_calibrated_v1,Bosnia and Herzegovina,low,False
wc2026_r013,13,World Cup 2026,Matchday 3,Group C,2026-06-13,18:00 UTC-4,2026-06-13 22:00:00,New York/New Jersey (East Rutherford),United States,Brazil,Morocco,False,False,0.0,0.0,1.0,1979.0,1830.0,149.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,1.0,3.0,0.6,1.9,2.5,1.1,10.0,6.0,3.0,1.0,0.6,2.1,1.9,0.4,3.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,2.0,0.6666666666666666,2023-03-25,0.6479428328532143,0.2724868437858213,0.0795703233609643,1.5433460319276981,3.6699019523526606,12.567499511891906,home_win,v4_elo_ensemble_calibrated_v1,Brazil,medium,True
wc2026_r014,14,World Cup 2026,Matchday 3,Group C,2026-06-13,21:00 UTC-4,2026-06-14 01:00:00,Boston (Foxborough),United States,Haiti,Scotland,False,False,0.0,0.0,1.0,1542.0,1790.0,-248.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,3.0,3.0,0.4,1.5,1.5,1.0,10.0,6.0,1.0,3.0,0.6,1.9,2.1,1.0,,,,,,,,,,,0.30166426444265293,0.33591458999986334,0.3624211455574838,3.314943524542339,2.9769472055393806,2.7592209015888933,away_win,v4_elo_ensemble_calibrated_v1,Scotland,high,True
wc2026_r015,15,World Cup 2026,Matchday 9,Group C,2026-06-19,18:00 UTC-4,2026-06-19 22:00:00,Boston (Foxborough),United States,Scotland,Morocco,False,False,0.0,0.0,1.0,1790.0,1830.0,-40.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,1.0,3.0,0.6,1.9,2.1,1.0,10.0,6.0,3.0,1.0,0.6,2.1,1.9,0.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1998-06-23,0.4735695354575017,0.3594044567858341,0.16702600775666412,2.11162231758411,2.7823806330701433,5.9870915519747925,home_win,v4_elo_ensemble_calibrated_v1,Scotland,high,True
wc2026_r016,16,World Cup 2026,Matchday 9,Group C,2026-06-19,20:30 UTC-4,2026-06-20 00:30:00,Philadelphia,United States,Brazil,Haiti,False,False,0.0,0.0,1.0,1979.0,1542.0,437.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,1.0,3.0,0.6,1.9,2.5,1.1,10.0,4.0,3.0,3.0,0.4,1.5,1.5,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,5.666666666666667,0.3333333333333333,2016-06-08,0.878133289184394,0.10127535425717554,0.020591356558430366,1.138779285920017,9.87407061999142,48.56406605181081,home_win,v4_elo_ensemble_calibrated_v1,Brazil,low,False
wc2026_r017,17,World Cup 2026,Matchday 14,Group C,2026-06-24,18:00 UTC-4,2026-06-24 22:00:00,Miami (Miami Gardens),United States,Scotland,Brazil,False,False,0.0,0.0,1.0,1790.0,1979.0,-189.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,1.0,3.0,0.6,1.9,2.1,1.0,10.0,6.0,1.0,3.0,0.6,1.9,2.5,1.1,10.0,0.0,8.0,2.0,0.0,0.8,0.2,0.3,1.6,2011-03-27,0.35605087562960747,0.35135026187678614,0.29259886249360645,2.8085873914273978,2.84616267156985,3.4176482829691484,home_win,v4_elo_ensemble_calibrated_v1,Scotland,high,True
wc2026_r018,18,World Cup 2026,Matchday 14,Group C,2026-06-24,18:00 UTC-4,2026-06-24 22:00:00,Atlanta,United States,Morocco,Haiti,False,False,0.0,0.0,1.0,1830.0,1542.0,288.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,3.0,1.0,0.6,2.1,1.9,0.4,10.0,4.0,3.0,3.0,0.4,1.5,1.5,1.0,,,,,,,,,,,0.787064674250686,0.17434306362420768,0.03859226212510636,1.2705436194961184,5.735817526732673,25.911930136623056,home_win,v4_elo_ensemble_calibrated_v1,Morocco,low,False
wc2026_r019,19,World Cup 2026,Matchday 2,Group D,2026-06-12,18:00 UTC-7,2026-06-13 01:00:00,Los Angeles (Inglewood),United States,United States,Paraguay,False,False,1.0,0.0,0.0,1747.0,1833.0,-86.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,1.0,4.0,0.5,1.6,1.8,1.7,10.0,4.0,2.0,4.0,0.4,1.4,1.2,1.0,9.0,5.0,2.0,2.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,1.3333333333333333,0.7777777777777778,2025-11-15,0.43638513067777485,0.35591862885094894,0.2076962404712762,2.2915537897609903,2.8096309632019247,4.814723645122008,home_win,v4_elo_ensemble_calibrated_v1,United States,high,True
wc2026_r020,20,World Cup 2026,Matchday 3,Group D,2026-06-13,21:00 UTC-7,2026-06-14 04:00:00,Vancouver,Canada,Australia,Turkey,False,False,0.0,0.0,1.0,1774.0,1880.0,-106.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,1.0,4.0,0.5,1.6,1.3,1.0,10.0,8.0,1.0,1.0,0.8,2.5,2.5,1.3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.5,2.0,2004-05-24,0.424368644846186,0.3603643107444625,0.21526704440935154,2.356441768600632,2.774969579906898,4.645392901378816,home_win,v4_elo_ensemble_calibrated_v1,Australia,high,True
wc2026_r021,21,World Cup 2026,Matchday 9,Group D,2026-06-19,12:00 UTC-7,2026-06-19 19:00:00,Seattle,United States,United States,Australia,False,False,1.0,0.0,0.0,1747.0,1774.0,-27.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,1.0,4.0,0.5,1.6,1.8,1.7,10.0,5.0,1.0,4.0,0.5,1.6,1.3,1.0,4.0,2.0,1.0,1.0,0.5,0.25,0.25,1.25,0.75,2025-10-14,0.48689738698255064,0.3438232901306355,0.1692793228868139,2.0538208393298234,2.9084708008583435,5.907396030102478,home_win,v4_elo_ensemble_calibrated_v1,United States,high,True
wc2026_r022,22,World Cup 2026,Matchday 9,Group D,2026-06-19,20:00 UTC-7,2026-06-20 03:00:00,San Francisco Bay Area (Santa Clara),United States,Turkey,Paraguay,False,False,0.0,0.0,1.0,1880.0,1833.0,47.0,2025-12-13,2025-12-13,0.0,0.0,10.0,8.0,1.0,1.0,0.8,2.5,2.5,1.3,10.0,4.0,2.0,4.0,0.4,1.4,1.2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1995-06-18,0.5724458475897448,0.3134386368780661,0.11411551553218902,1.7468901280539477,3.190417141805718,8.76305027704954,home_win,v4_elo_ensemble_calibrated_v1,Turkey,high,True
wc2026_r023,23,World Cup 2026,Matchday 15,Group D,2026-06-25,19:00 UTC-7,2026-06-26 02:00:00,Los Angeles (Inglewood),United States,Turkey,United States,False,False,0.0,1.0,0.0,1880.0,1747.0,133.0,2025-12-13,2025-12-13,0.0,0.0,10.0,8.0,1.0,1.0,0.8,2.5,2.5,1.3,10.0,5.0,1.0,4.0,0.5,1.6,1.8,1.7,5.0,2.0,2.0,1.0,0.4,0.4,0.2,1.4,1.4,2025-06-07,0.6720114814451995,0.24642689949666763,0.08156161905813288,1.4880698137023525,4.057998546597478,12.260668823742355,home_win,v4_elo_ensemble_calibrated_v1,Turkey,medium,True
wc2026_r024,24,World Cup 2026,Matchday 15,Group D,2026-06-25,19:00 UTC-7,2026-06-26 02:00:00,San Francisco Bay Area (Santa Clara),United States,Paraguay,Australia,False,False,0.0,0.0,1.0,1833.0,1774.0,59.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,2.0,4.0,0.4,1.4,1.2,1.0,10.0,5.0,1.0,4.0,0.5,1.6,1.3,1.0,5.0,0.0,2.0,3.0,0.0,0.4,0.6,0.4,0.8,2010-10-09,0.5667754784950101,0.3252565458813825,0.10796797562360741,1.7643670870436292,3.074496155919608,9.262005647731604,home_win,v4_elo_ensemble_calibrated_v1,Paraguay,high,True
wc2026_r025,25,World Cup 2026,Matchday 4,Group E,2026-06-14,12:00 UTC-5,2026-06-14 17:00:00,Houston,United States,Germany,Curaçao,False,False,0.0,0.0,1.0,1910.0,1467.0,443.0,2025-12-13,2025-12-13,0.0,0.0,10.0,9.0,0.0,1.0,0.9,2.7,2.8,0.8,10.0,4.0,3.0,3.0,0.4,1.5,1.9,1.4,,,,,,,,,,,0.892100901348497,0.08922016041588045,0.018678938235622593,1.1209494335095986,11.208229119278833,53.536233558120585,home_win,v4_elo_ensemble_calibrated_v1,Germany,low,False
wc2026_r026,26,World Cup 2026,Matchday 4,Group E,2026-06-14,19:00 UTC-4,2026-06-14 23:00:00,Philadelphia,United States,Ivory Coast,Ecuador,False,False,0.0,0.0,1.0,1607.0,1933.0,-326.0,2025-12-13,2025-12-13,0.0,0.0,10.0,7.0,1.0,2.0,0.7,2.2,1.9,0.8,10.0,3.0,7.0,0.0,0.3,1.6,0.9,0.5,,,,,,,,,,,0.26957098499577425,0.35047030435730986,0.37995871064691594,3.7095980489727998,2.853308789838253,2.6318649157888885,away_win,v4_elo_ensemble_calibrated_v1,Ecuador,high,True
